idpozo,fecha_data,anio,mes,areayacimiento,prod_pet,prod_gas,prod_agua,tipo_de_recurso
123960,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124022,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124008,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
123999,2021-01-31,2021,1,VACAS MUERTAS,44.02,1.89,545.23,CONVENCIONAL
124004,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124014,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124009,2021-01-31,2021,1,VACAS MUERTAS,121.35,5.19,3269.14,CONVENCIONAL
124012,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124093,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124055,2021-01-31,2021,1,RIO VIEJAS,0.0,0.0,0.0,CONVENCIONAL
124037,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124028,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124032,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124051,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124039,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124047,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124091,2021-01-31,2021,1,VACAS MUERTAS,46.85,2.61,565.25,CONVENCIONAL
124065,2021-01-31,2021,1,RIO VIEJAS,0.0,0.0,0.0,CONVENCIONAL
124057,2021-01-31,2021,1,RIO VIEJAS,0.0,0.0,0.0,CONVENCIONAL
124058,2021-01-31,2021,1,RIO VIEJAS,92.5,2.95,3614.39,CONVENCIONAL
124081,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124071,2021-01-31,2021,1,RIO VIEJAS,196.37,6.27,3828.83,CONVENCIONAL
124073,2021-01-31,2021,1,RIO VIEJAS,0.0,0.0,0.0,CONVENCIONAL
124258,2021-01-31,2021,1,PUNTA DE LAS BARDAS,0.0,0.0,0.0,CONVENCIONAL
124181,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124156,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
124107,2021-01-31,2021,1,VACAS MUERTAS,0.0,0.0,0.0,CONVENCIONAL
